tissue_info1,tissue_info2,tissue_info3,tissue_info4,tissue_info5,tissue_info6,tissue_ucode
Azos_Corn,ASH_MR,101,UP,V12,10 Jul 2019,A00181
Azos_Corn,ASH_MR,102,UP,V12,10 Jul 2019,A00182
Azos_Corn,ASH_MR,103,UP,V12,10 Jul 2019,A00183
Azos_Corn,ASH_MR,104,UP,V12,10 Jul 2019,A00184
Azos_Corn,ASH_MR,105,UP,V12,10 Jul 2019,A00185
Azos_Corn,ASH_MR,106,UP,V12,10 Jul 2019,A00186
Azos_Corn,ASH_MR,107,UP,V12,10 Jul 2019,A00187
Azos_Corn,ASH_MR,108,UP,V12,10 Jul 2019,A00188
Azos_Corn,ASH_MR,109,UP,V12,10 Jul 2019,A00189
Azos_Corn,ASH_MR,110,UP,V12,10 Jul 2019,A00190
Azos_Corn,ASH_MR,111,UP,V12,10 Jul 2019,A00191
Azos_Corn,ASH_MR,112,UP,V12,10 Jul 2019,A00192
Azos_Corn,ASH_MR,201,UP,V12,10 Jul 2019,A00193
Azos_Corn,ASH_MR,202,UP,V12,10 Jul 2019,A00194
Azos_Corn,ASH_MR,203,UP,V12,10 Jul 2019,A00195
Azos_Corn,ASH_MR,204,UP,V12,10 Jul 2019,A00196
Azos_Corn,ASH_MR,205,UP,V12,10 Jul 2019,A00197
Azos_Corn,ASH_MR,206,UP,V12,10 Jul 2019,A00198
Azos_Corn,ASH_MR,207,UP,V12,10 Jul 2019,A00199
Azos_Corn,ASH_MR,208,UP,V12,10 Jul 2019,A00200
Azos_Corn,ASH_MR,209,UP,V12,10 Jul 2019,A00201
Azos_Corn,ASH_MR,210,UP,V12,10 Jul 2019,A00202
Azos_Corn,ASH_MR,211,UP,V12,10 Jul 2019,A00203
Azos_Corn,ASH_MR,212,UP,V12,10 Jul 2019,A00204
Azos_Corn,ASH_MR,401,UP,V12,10 Jul 2019,A00205
Azos_Corn,ASH_MR,402,UP,V12,10 Jul 2019,A00206
Azos_Corn,ASH_MR,403,UP,V12,10 Jul 2019,A00207
Azos_Corn,ASH_MR,404,UP,V12,10 Jul 2019,A00208
Azos_Corn,ASH_MR,405,UP,V12,10 Jul 2019,A00209
Azos_Corn,ASH_MR,406,UP,V12,10 Jul 2019,A00210
Azos_Corn,ASH_MR,407,UP,V12,10 Jul 2019,A00211
Azos_Corn,ASH_MR,408,UP,V12,10 Jul 2019,A00212
Azos_Corn,ASH_MR,409,UP,V12,10 Jul 2019,A00213
Azos_Corn,ASH_MR,410,UP,V12,10 Jul 2019,A00214
Azos_Corn,ASH_MR,411,UP,V12,10 Jul 2019,A00215
Azos_Corn,ASH_MR,412,UP,V12,10 Jul 2019,A00216
Azos_Corn,ASH_MR,101,MD,V12,10 Jul 2019,A00217
Azos_Corn,ASH_MR,102,MD,V12,10 Jul 2019,A00218
Azos_Corn,ASH_MR,103,MD,V12,10 Jul 2019,A00219
Azos_Corn,ASH_MR,104,MD,V12,10 Jul 2019,A00220
Azos_Corn,ASH_MR,105,MD,V12,10 Jul 2019,A00221
Azos_Corn,ASH_MR,106,MD,V12,10 Jul 2019,A00222
Azos_Corn,ASH_MR,107,MD,V12,10 Jul 2019,A00223
Azos_Corn,ASH_MR,108,MD,V12,10 Jul 2019,A00224
Azos_Corn,ASH_MR,109,MD,V12,10 Jul 2019,A00225
Azos_Corn,ASH_MR,110,MD,V12,10 Jul 2019,A00226
Azos_Corn,ASH_MR,111,MD,V12,10 Jul 2019,A00227
Azos_Corn,ASH_MR,112,MD,V12,10 Jul 2019,A00228
Azos_Corn,ASH_MR,201,MD,V12,10 Jul 2019,A00229
Azos_Corn,ASH_MR,202,MD,V12,10 Jul 2019,A00230
Azos_Corn,ASH_MR,203,MD,V12,10 Jul 2019,A00231
Azos_Corn,ASH_MR,204,MD,V12,10 Jul 2019,A00232
Azos_Corn,ASH_MR,205,MD,V12,10 Jul 2019,A00233
Azos_Corn,ASH_MR,206,MD,V12,10 Jul 2019,A00234
Azos_Corn,ASH_MR,207,MD,V12,10 Jul 2019,A00235
Azos_Corn,ASH_MR,208,MD,V12,10 Jul 2019,A00236
Azos_Corn,ASH_MR,209,MD,V12,10 Jul 2019,A00237
Azos_Corn,ASH_MR,210,MD,V12,10 Jul 2019,A00238
Azos_Corn,ASH_MR,211,MD,V12,10 Jul 2019,A00239
Azos_Corn,ASH_MR,212,MD,V12,10 Jul 2019,A00240
Azos_Corn,ASH_MR,401,MD,V12,10 Jul 2019,A00241
Azos_Corn,ASH_MR,402,MD,V12,10 Jul 2019,A00242
Azos_Corn,ASH_MR,403,MD,V12,10 Jul 2019,A00243
Azos_Corn,ASH_MR,404,MD,V12,10 Jul 2019,A00244
Azos_Corn,ASH_MR,405,MD,V12,10 Jul 2019,A00245
Azos_Corn,ASH_MR,406,MD,V12,10 Jul 2019,A00246
Azos_Corn,ASH_MR,407,MD,V12,10 Jul 2019,A00247
Azos_Corn,ASH_MR,408,MD,V12,10 Jul 2019,A00248
Azos_Corn,ASH_MR,409,MD,V12,10 Jul 2019,A00249
Azos_Corn,ASH_MR,410,MD,V12,10 Jul 2019,A00250
Azos_Corn,ASH_MR,411,MD,V12,10 Jul 2019,A00251
Azos_Corn,ASH_MR,412,MD,V12,10 Jul 2019,A00252
Azos_Corn,ASH_MR,101,LW,V12,10 Jul 2019,A00253
Azos_Corn,ASH_MR,102,LW,V12,10 Jul 2019,A00254
Azos_Corn,ASH_MR,103,LW,V12,10 Jul 2019,A00255
Azos_Corn,ASH_MR,104,LW,V12,10 Jul 2019,A00256
Azos_Corn,ASH_MR,105,LW,V12,10 Jul 2019,A00257
Azos_Corn,ASH_MR,106,LW,V12,10 Jul 2019,A00258
Azos_Corn,ASH_MR,107,LW,V12,10 Jul 2019,A00259
