biomass_info1,biomass_info2,biomass_info3,biomass_ucode
ASH_MR AzCr 101 FS V6,3-plant fresh sample,11 Jun 2019,
ASH_MR AzCr 102 FS V6,3-plant fresh sample,11 Jun 2019,
ASH_MR AzCr 103 FS V6,3-plant fresh sample,11 Jun 2019,
ASH_MR AzCr 104 FS V6,3-plant fresh sample,11 Jun 2019,
ASH_MR AzCr 105 FS V6,3-plant fresh sample,11 Jun 2019,
ASH_MR AzCr 106 FS V6,3-plant fresh sample,11 Jun 2019,
ASH_MR AzCr 107 FS V6,3-plant fresh sample,11 Jun 2019,
ASH_MR AzCr 108 FS V6,3-plant fresh sample,11 Jun 2019,
ASH_MR AzCr 109 FS V6,3-plant fresh sample,11 Jun 2019,
ASH_MR AzCr 110 FS V6,3-plant fresh sample,11 Jun 2019,
ASH_MR AzCr 111 FS V6,3-plant fresh sample,11 Jun 2019,
ASH_MR AzCr 112 FS V6,3-plant fresh sample,11 Jun 2019,
ASH_MR AzCr 201 FS V6,3-plant fresh sample,11 Jun 2019,
ASH_MR AzCr 202 FS V6,3-plant fresh sample,11 Jun 2019,
ASH_MR AzCr 203 FS V6,3-plant fresh sample,11 Jun 2019,
ASH_MR AzCr 204 FS V6,3-plant fresh sample,11 Jun 2019,
ASH_MR AzCr 205 FS V6,3-plant fresh sample,11 Jun 2019,
ASH_MR AzCr 206 FS V6,3-plant fresh sample,11 Jun 2019,
ASH_MR AzCr 207 FS V6,3-plant fresh sample,11 Jun 2019,
ASH_MR AzCr 208 FS V6,3-plant fresh sample,11 Jun 2019,
ASH_MR AzCr 209 FS V6,3-plant fresh sample,11 Jun 2019,
ASH_MR AzCr 210 FS V6,3-plant fresh sample,11 Jun 2019,
ASH_MR AzCr 211 FS V6,3-plant fresh sample,11 Jun 2019,
ASH_MR AzCr 212 FS V6,3-plant fresh sample,11 Jun 2019,
ASH_MR AzCr 401 FS V6,3-plant fresh sample,11 Jun 2019,
ASH_MR AzCr 402 FS V6,3-plant fresh sample,11 Jun 2019,
ASH_MR AzCr 403 FS V6,3-plant fresh sample,11 Jun 2019,
ASH_MR AzCr 404 FS V6,3-plant fresh sample,11 Jun 2019,
ASH_MR AzCr 405 FS V6,3-plant fresh sample,11 Jun 2019,
ASH_MR AzCr 406 FS V6,3-plant fresh sample,11 Jun 2019,
ASH_MR AzCr 407 FS V6,3-plant fresh sample,11 Jun 2019,
ASH_MR AzCr 408 FS V6,3-plant fresh sample,11 Jun 2019,
ASH_MR AzCr 409 FS V6,3-plant fresh sample,11 Jun 2019,
ASH_MR AzCr 410 FS V6,3-plant fresh sample,11 Jun 2019,
ASH_MR AzCr 411 FS V6,3-plant fresh sample,11 Jun 2019,
ASH_MR AzCr 412 FS V6,3-plant fresh sample,11 Jun 2019,
