soil_info1,soil_info2,soil_info3,soil_info4,soil_info5,soil_info6
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 6 inch,05 Jun 2019,ASH AzCr 101
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 6 inch,05 Jun 2019,ASH AzCr 102
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 6 inch,05 Jun 2019,ASH AzCr 103
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 6 inch,05 Jun 2019,ASH AzCr 104
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 6 inch,05 Jun 2019,ASH AzCr 105
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 6 inch,05 Jun 2019,ASH AzCr 106
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 6 inch,05 Jun 2019,ASH AzCr 107
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 6 inch,05 Jun 2019,ASH AzCr 108
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 6 inch,05 Jun 2019,ASH AzCr 109
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 6 inch,05 Jun 2019,ASH AzCr 110
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 6 inch,05 Jun 2019,ASH AzCr 111
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 6 inch,05 Jun 2019,ASH AzCr 112
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 6 inch,05 Jun 2019,ASH AzCr 201
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 6 inch,05 Jun 2019,ASH AzCr 202
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 6 inch,05 Jun 2019,ASH AzCr 203
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 6 inch,05 Jun 2019,ASH AzCr 204
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 6 inch,05 Jun 2019,ASH AzCr 205
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 6 inch,05 Jun 2019,ASH AzCr 206
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 6 inch,05 Jun 2019,ASH AzCr 207
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 6 inch,05 Jun 2019,ASH AzCr 208
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 6 inch,05 Jun 2019,ASH AzCr 209
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 6 inch,05 Jun 2019,ASH AzCr 210
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 6 inch,05 Jun 2019,ASH AzCr 211
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 6 inch,05 Jun 2019,ASH AzCr 212
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 6 inch,05 Jun 2019,ASH AzCr 401
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 6 inch,05 Jun 2019,ASH AzCr 402
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 6 inch,05 Jun 2019,ASH AzCr 403
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 6 inch,05 Jun 2019,ASH AzCr 404
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 6 inch,05 Jun 2019,ASH AzCr 405
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 6 inch,05 Jun 2019,ASH AzCr 406
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 6 inch,05 Jun 2019,ASH AzCr 407
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 6 inch,05 Jun 2019,ASH AzCr 408
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 6 inch,05 Jun 2019,ASH AzCr 409
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 6 inch,05 Jun 2019,ASH AzCr 410
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 6 inch,05 Jun 2019,ASH AzCr 411
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 6 inch,05 Jun 2019,ASH AzCr 412
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 24 inch,05 Jun 2019,ASH AzCr 101
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 24 inch,05 Jun 2019,ASH AzCr 102
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 24 inch,05 Jun 2019,ASH AzCr 103
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 24 inch,05 Jun 2019,ASH AzCr 104
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 24 inch,05 Jun 2019,ASH AzCr 105
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 24 inch,05 Jun 2019,ASH AzCr 106
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 24 inch,05 Jun 2019,ASH AzCr 107
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 24 inch,05 Jun 2019,ASH AzCr 108
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 24 inch,05 Jun 2019,ASH AzCr 109
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 24 inch,05 Jun 2019,ASH AzCr 110
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 24 inch,05 Jun 2019,ASH AzCr 111
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 24 inch,05 Jun 2019,ASH AzCr 112
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 24 inch,05 Jun 2019,ASH AzCr 201
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 24 inch,05 Jun 2019,ASH AzCr 202
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 24 inch,05 Jun 2019,ASH AzCr 203
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 24 inch,05 Jun 2019,ASH AzCr 204
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 24 inch,05 Jun 2019,ASH AzCr 205
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 24 inch,05 Jun 2019,ASH AzCr 206
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 24 inch,05 Jun 2019,ASH AzCr 207
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 24 inch,05 Jun 2019,ASH AzCr 208
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 24 inch,05 Jun 2019,ASH AzCr 209
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 24 inch,05 Jun 2019,ASH AzCr 210
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 24 inch,05 Jun 2019,ASH AzCr 211
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 24 inch,05 Jun 2019,ASH AzCr 212
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 24 inch,05 Jun 2019,ASH AzCr 401
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 24 inch,05 Jun 2019,ASH AzCr 402
Moro Rosso,Azos_Corn,"Ashland, KS",0 – 24 inch,05 Jun 2019,ASH AzCr 403
