stake_info1,stake_info2,stake_info3,stake_info4,stake_info5,stake_info6
Azos_Corn,Ashland (ASH),2019 MR,BLOCK A,Azo-in Full-N Non-S,101
Azos_Corn,Ashland (ASH),2019 MR,BLOCK A,Non-in Full-N Non-S,102
Azos_Corn,Ashland (ASH),2019 MR,BLOCK A,Azo-in Par-N Non-S,103
Azos_Corn,Ashland (ASH),2019 MR,BLOCK A,Azo-in Par-N Full-S,104
Azos_Corn,Ashland (ASH),2019 MR,BLOCK A,Azo-in Non-N Full-S,105
Azos_Corn,Ashland (ASH),2019 MR,BLOCK A,Non-in Non-N Full-S,106
Azos_Corn,Ashland (ASH),2019 MR,BLOCK A,Non-in Par-N Non-S,107
Azos_Corn,Ashland (ASH),2019 MR,BLOCK A,Non-in Par-N Full-S,108
Azos_Corn,Ashland (ASH),2019 MR,BLOCK A,Azo-in Full-N Full-S,109
Azos_Corn,Ashland (ASH),2019 MR,BLOCK A,Azo-in Non-N Non-S,110
Azos_Corn,Ashland (ASH),2019 MR,BLOCK A,Non-in Non-N Non-S,111
Azos_Corn,Ashland (ASH),2019 MR,BLOCK A,Non-in Full-N Full-S,112
Azos_Corn,Ashland (ASH),2019 MR,BLOCK B,Non-in Full-N Full-S,201
Azos_Corn,Ashland (ASH),2019 MR,BLOCK B,Non-in Non-N Full-S,202
Azos_Corn,Ashland (ASH),2019 MR,BLOCK B,Non-in Par-N Full-S,203
Azos_Corn,Ashland (ASH),2019 MR,BLOCK B,Azo-in Par-N Full-S,204
Azos_Corn,Ashland (ASH),2019 MR,BLOCK B,Non-in Full-N Non-S,205
Azos_Corn,Ashland (ASH),2019 MR,BLOCK B,Non-in Par-N Non-S,206
Azos_Corn,Ashland (ASH),2019 MR,BLOCK B,Non-in Non-N Non-S,207
Azos_Corn,Ashland (ASH),2019 MR,BLOCK B,Azo-in Par-N Non-S,208
Azos_Corn,Ashland (ASH),2019 MR,BLOCK B,Azo-in Full-N Full-S,209
Azos_Corn,Ashland (ASH),2019 MR,BLOCK B,Azo-in Non-N Full-S,210
Azos_Corn,Ashland (ASH),2019 MR,BLOCK B,Azo-in Non-N Non-S,211
Azos_Corn,Ashland (ASH),2019 MR,BLOCK B,Azo-in Full-N Non-S,212
Azos_Corn,Ashland (ASH),2019 MR,BLOCK D,Azo-in Par-N Non-S,401
Azos_Corn,Ashland (ASH),2019 MR,BLOCK D,Non-in Par-N Full-S,402
Azos_Corn,Ashland (ASH),2019 MR,BLOCK D,Non-in Par-N Non-S,403
Azos_Corn,Ashland (ASH),2019 MR,BLOCK D,Azo-in Full-N Non-S,404
Azos_Corn,Ashland (ASH),2019 MR,BLOCK D,Azo-in Par-N Full-S,405
Azos_Corn,Ashland (ASH),2019 MR,BLOCK D,Azo-in Non-N Full-S,406
Azos_Corn,Ashland (ASH),2019 MR,BLOCK D,Non-in Non-N Non-S,407
Azos_Corn,Ashland (ASH),2019 MR,BLOCK D,Azo-in Non-N Non-S,408
Azos_Corn,Ashland (ASH),2019 MR,BLOCK D,Non-in Full-N Non-S,409
Azos_Corn,Ashland (ASH),2019 MR,BLOCK D,Non-in Full-N Full-S,410
Azos_Corn,Ashland (ASH),2019 MR,BLOCK D,Non-in Non-N Full-S,411
Azos_Corn,Ashland (ASH),2019 MR,BLOCK D,Azo-in Full-N Full-S,412
